system:index,B1,B2,B3,B4,B5,B6,B7,Class,.geo
0_87_0,0.17682385,0.16449231,0.14994822,0.1547606,0.1770629,0.16854607,0.14309157,0.0,
0_88_0,0.1574117,0.14237413,0.13817698,0.13522927,0.26037923,0.19161065,0.14458935,0.0,
0_89_0,0.20745528,0.2030772,0.20749791,0.22326037,0.2377392,0.25306955,0.22877492,0.0,
0_90_0,0.18625696,0.17503631,0.16736305,0.17147362,0.21280551,0.19878525,0.16558237,0.0,
0_91_0,0.18810691,0.17625126,0.16619891,0.16905852,0.20587242,0.18385392,0.1362929,0.0,
0_92_0,0.16074428,0.15104224,0.15335643,0.17563526,0.2706288,0.28480464,0.20833953,0.0,
0_93_0,0.18358332,0.17326437,0.16173,0.16473463,0.2206076,0.1792188,0.1258853,0.0,
0_94_0,0.23758444,0.23530288,0.23456952,0.250653,0.2846177,0.31195796,0.27561006,0.0,
0_95_0,0.18187632,0.17288783,0.16596071,0.17215976,0.22099969,0.208092,0.1676285,0.0,
0_96_0,0.16645586,0.1554039,0.15397963,0.16602758,0.23752111,0.24141958,0.20787592,0.0,
0_97_0,0.17707114,0.17022054,0.17649381,0.2012824,0.2632535,0.23291942,0.22298956,0.0,
0_98_0,0.16133706,0.1463882,0.12864801,0.122788936,0.21629734,0.16757463,0.12905319,0.0,
0_99_0,0.15745805,0.1425834,0.13082911,0.1319794,0.22251931,0.18220243,0.14156143,0.0,
0_100_0,0.1929386,0.18180722,0.16667554,0.16775173,0.17486729,0.15752754,0.13562241,0.0,
0_101_0,0.17137532,0.16053987,0.16036579,0.176086,0.238802,0.2569334,0.22436424,0.0,
0_102_0,0.19011942,0.17872491,0.16885889,0.1737364,0.18524307,0.16975287,0.14089464,0.0,
0_103_0,0.16118535,0.14514029,0.1320113,0.13607226,0.17769825,0.16177116,0.13955162,0.0,
0_104_0,0.14478795,0.12794246,0.11370148,0.11619329,0.17394052,0.1751475,0.15293333,0.0,
0_105_0,0.20026794,0.19038683,0.19014071,0.200115,0.20486236,0.17295901,0.14333577,0.0,
0_106_0,0.16004848,0.1445995,0.1228914,0.12628935,0.15737462,0.13633819,0.11544382,0.0,
0_107_0,0.1612082,0.14728937,0.13653833,0.1436292,0.19588819,0.2013928,0.16232896,0.0,
0_108_0,0.18005575,0.16872296,0.15835713,0.16472507,0.17805223,0.18053362,0.14561272,0.0,
0_109_0,0.15277725,0.13440466,0.10367106,0.09559669,0.09849615,0.0880498,0.07834246,0.0,
0_110_0,0.164111,0.15158847,0.14684214,0.1605834,0.20883742,0.243245,0.21527588,0.0,
0_111_0,0.17931618,0.17333464,0.18308958,0.20945011,0.25724816,0.31264257,0.24025592,0.0,
0_112_0,0.13976301,0.12174033,0.10894344,0.10565467,0.2588236,0.1978196,0.13853829,0.0,
0_113_0,0.1513009,0.13549843,0.12465432,0.12996271,0.2121195,0.2230287,0.16664688,0.0,
0_114_0,0.16158462,0.14619812,0.13293585,0.13488717,0.1407559,0.14461437,0.12758335,0.0,
0_115_0,0.17382488,0.15990108,0.15031841,0.15651858,0.19308755,0.15961966,0.13241814,0.0,
0_116_0,0.18629631,0.17453448,0.16224241,0.16808543,0.17768063,0.16792856,0.13710703,0.0,
0_117_0,0.17745501,0.15599316,0.12839508,0.120593384,0.12441258,0.17740303,0.11563855,0.0,
0_118_0,0.14904323,0.13269684,0.12316777,0.12113269,0.19986324,0.1593483,0.12697743,0.0,
0_119_0,0.17527108,0.16293731,0.15051925,0.15416528,0.17008056,0.16215968,0.14013594,0.0,
0_120_0,0.1833733,0.17117137,0.15994546,0.16047375,0.18806532,0.17014626,0.14749093,0.0,
0_121_0,0.18901172,0.17685072,0.16078945,0.16529989,0.17763112,0.16668752,0.13603261,0.0,
0_122_0,0.18878973,0.17989087,0.17316617,0.17763534,0.21169822,0.21226047,0.18139142,0.0,
0_123_0,0.213283,0.20743056,0.20146263,0.20992786,0.21570179,0.19560242,0.17383286,0.0,
0_124_0,0.20083521,0.19353575,0.18945485,0.19780926,0.21200433,0.19982538,0.17776492,0.0,
0_125_0,0.18596321,0.17408271,0.1586476,0.16060238,0.17130455,0.19020852,0.17170598,0.0,
0_126_0,0.16315982,0.14920701,0.13928375,0.14503911,0.20070672,0.16916007,0.1244042,0.0,
0_127_0,0.15004264,0.12912875,0.10575221,0.09710046,0.13112544,0.10525989,0.088413335,0.0,
0_128_0,0.16728799,0.15403701,0.14322896,0.1494773,0.17311351,0.16942152,0.14406596,0.0,
0_129_0,0.20163344,0.19367239,0.18877237,0.19568649,0.23530608,0.1972569,0.165135,0.0,
